Common Name,Primary Genre,Combined Genres,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
Kenneth Von Gunden,Fiction,Fiction,02/09/1966,1/1/2050,Born: 2/9/1946,"<p>Science fiction author, Kenneth Ray Von Gunden, was born in 1946 at the Centre Community Hospital in Bellefonte, Pennsylvania. He has written seven science fiction books, four nonfiction books related to science fiction cinema, and a variety of articles and short fiction pieces. At the time of this writing, he resides in State College with his wife Donna and is a professor of American Studies, Cinema Art and Integrative Arts at Penn State's Altoona campus.</p>","State College, PA",Centre County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Von+Gunden%2C+Kenneth"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Von_Gunden__Kenneth"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Von_Gunden__Kenneth_Ray.jpg,40.816197,-77.899402,Photo Credit: K-9 Corps #2: Under Fire. ca. 1991. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: Ace Books. Source: Online Resource. Source: https://images.gr-assets.com/books/1487197887l/3042089.jpg.,,"State College, PA | Centre County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Von_Gunden__Kenneth"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Von+Gunden%2C+Kenneth"" target=""_blank"">PSU Catalog Link</a>"
Stacey Waite,Poetry,Poetry | Nonfiction,01/09/1997,1/1/2050,Born: 1/9/1977,"<p>Stacey Waite is well known for the 2004 chapbook <em>Choke</em>, winner of the Frank O'Hara Award for Poetry. Waite was also a featured in the <a href=""https://pabook.libraries.psu.edu/awards-contests/public-poetry-project?field_award_year_value=2006"" target=""_blank"">2006 Public Poetry Project of the Pennsylvania Center for the Book</a>.</p>","Pittsburgh, PA",Allegheny County,https://www.staceywaite.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Waite%2C+Stacey"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Waite__Stacey"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Waite__Stacey.jpg,40.444367,-79.960835,"Photo Credit: Stacey Waite. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://static1.squarespace.com/static/5b7db1ab70e802d3b580be19/t/5b823e556d2a73bb5c158c08/1535262310231/bookreleaseparty_p53-22.jpg?format=300w.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Waite__Stacey"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Waite%2C+Stacey"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.staceywaite.com/"" target=""_blank"">Personal Website</a>"
Jeanne Murray Walker,Poetry,Poetry | Screenwriting / Playwriting,05/27/1964,1/1/2050,Born: 5/27/1944,"<p>Born in Parkers Prairie, Minnesota on May 27, 1944, Jeanne Murray Walker is best-known as a poet and playwright. Attending such prestigious schools such as Loyola University and The University of Pennsylvania, Walker earned a PhD in English in 1974. Her love of writing is evident as Walker has over 500 published poems since 1963. At the time of this writing, she lives in Merion, Pennsylvania. She also holds writing conferences around the country and world, including England, Canada, Australia, and Romania. She has won several awards for her poems and plays and hopes to continue her passion of writing albeit through poems, plays, or essays.</p>","Merion, PA",Montgomery County,http://www.jeannemurraywalker.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Walker%2C+Jeanne+Murray"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Walker__Jeanne_Murray"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Walker__Jeanne_Murray.jpg,39.994897,-75.250747,"Photo Credit: Photograph of Jeanne Murray Walker. ca. 2016. Photograph. Licensed under Fair Use. Cropped to 4x3, Straightened. Source: Online Resource. Source: http://www.jeannemurraywalker.com/wp-content/uploads/2016/11/Walker-600x800.jpg.",,"Merion, PA | Montgomery County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Walker__Jeanne_Murray"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Walker%2C+Jeanne+Murray"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.jeannemurraywalker.com/"" target=""_blank"">Personal Website</a>"
Andrew Kevin Walker,Screenwriting / Playwriting,Screenwriting / Playwriting,08/14/1984,1/1/2050,Born: 8/14/1964,"<p>Andrew Kevin Walker specializes in violent and dark noir-type screenwriting, quickly establishing himself as an A-list screenwriter. Born in Altoona, Walker graduated from Penn State University in 1986. With his move to New York, Walker found critical acclaim with <em>Se7en </em>(1995). At the time of this writing, Walker resides in Los Angeles.</p>","Altoona, PA",Blair County,http://andrewkevinwalker.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Walker%2C+Andrew+Kevin"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Walker__Andrew_Kevin"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Walker__Andrew_Kevin.jpg,40.51,-78.4,"Photo Credit: Penn State. Photograph of Andrew Kevin Walker. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://news.psu.edu/sites/default/files/styles/topic_related_multimedia/public/Walkerweb.jpg?itok=Rp_AJbSo.",,"Altoona, PA | Blair County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Walker__Andrew_Kevin"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Walker%2C+Andrew+Kevin"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://andrewkevinwalker.com/"" target=""_blank"">Personal Website</a>"
Rich Wallace,Children's,Children's,01/29/1977,1/1/2050,Born: 1/29/1957,"<p>Honesdale's Rich Wallace was born in 1957 in New Jersey. While working as a journalist in high school, college, and post-college, Wallace honed his writing skills. He was hired by <em>Highlights for Children,</em> which brought him across the Delaware to Pennsylvania. At the time of this writing, he  edits the magazine and writes acclaimed sports novels for young adults.</p>","Honesdale, PA",Wayne County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wallace%2C+Rich"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wallace__Rich"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wallace__Rich.jpg,41.572755,-75.254423,Photo Credit: Photograph of Rich Wallace. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://richwallacebooks.com/wp-content/uploads/2016/09/Rich-Wallace-Bio-Picture-300x300.jpg.,,"Honesdale, PA | Wayne County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wallace__Rich"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wallace%2C+Rich"" target=""_blank"">PSU Catalog Link</a>"
Lucille Wallower,Children's,Children's,07/27/1930,8/30/1999,7/27/1910 - 8/30/1999,"<p>Children's author and librarian Lucille Wallower was born in Waynesboro in 1910. Throughout her lifetime she pursued a professional career as a librarianas well as one as a children's writer, becoming successful at both. She produced numerous books for children, most of which were set in and were about Pennsylvania. She died in 1999 in Cambridge, New York.</p>","Waynesboro, PA",Franklin County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wallower%2C+Lucille%2C+1910-1999"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wallower__Lucille"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wallower__Lucille.jpg,39.755927,-77.577769,"Photo Credit: They Came to Pennsylvania. ca. 1961. Cover Copy. Licensed under Fair Use. Cropped to 4x3. Source: Penns Valley Publishers, Inc.. Source: Online Resource. Pennsylvania.Source: https://images-na.ssl-images-amazon.com/images/I/51MU45o6QCL.jpg.",,"Waynesboro, PA | Franklin County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wallower__Lucille"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wallower%2C+Lucille%2C+1910-1999"" target=""_blank"">PSU Catalog Link</a>"
Jennifer Weiner,Fiction,Fiction | Journalism,03/28/1990,1/1/2050,Born: 3/28/1970,"<p>Popular Chick Lit novelist, Jennifer Weiner wasa reporter for the <em>Centre Daily Times </em>in State College, Pennsylvania, has written columns for <em>The Philadelphia Inquirer</em>, and is a resident of Philadelphia, a place that has served as the setting for some of her work. Read more <a href=""https://www.jenniferweiner.com/"" target=""_blank"">here</a>.</p><p>Weiner, Jennifer. <em>Jennifer Weiner website.</em> 2018. 9 November 2018.</p>","Philadelphia, PA",Philadelphia County,https://www.jenniferweiner.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weiner%2C+Jennifer"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weiner__Jennifer"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Weiner__Jennifer.jpg,40.314954,-75.049433,Photo Credit: Tamara Staples. Photograph of Jennifer Weiner. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://static1.squarespace.com/static/56ba59c9859fd0d3d316a8a8/56e21f37b6aa60caf4c962a9/59382e6d37c581a5f59fb31e/1496854136964/JenniferWeiner2015.jpg?format=300w.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weiner__Jennifer"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weiner%2C+Jennifer"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.jenniferweiner.com/"" target=""_blank"">Personal Website</a>"
Lauren Weisberger,Fiction,Fiction,03/28/1997,1/1/2050,Born: 3/28/1977,"<p>Lauren Weisberger was born March 28, 1977, in Scranton, Pennsylvania. When her parents divorced, she moved to Allentown, Pennsylvania, with her mother and sister. After graduating from Parkland High School, Weisberger attended Cornell University and received her BA in English. She traveled around the world and then returned to the United States to work for <em>Vogue</em>. After her time at <em>Vogue</em>, she has written four novels, and three were <em>New York Times </em>bestsellers. At the time of this writing, she lives in New York and is working on her next novel.</p>","Scranton, PA",Lackawanna County,https://www.laurenweisberger.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weisberger%2C+Lauren%2C+1977-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weisberger__Lauren"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Weisberger__Lauren.jpg,41.408969,-75.662412,Photo Credit: Photograph of Lauren Weisberger. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://www.laurenweisberger.com/.,,"Scranton, PA | Lackawanna County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weisberger__Lauren"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weisberger%2C+Lauren%2C+1977-"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.laurenweisberger.com/"" target=""_blank"">Personal Website</a>"
Conrad Weiser,Nonfiction,Nonfiction,11/02/1716,7/13/1760,11/2/1696 - 7/13/1760,"<p>Conrad Weiser was born in Germany in 1696. In 1709, his family migrated to what is now New York. Early in his teenage years, Weiser began to socialize with neighboring tribes of Indians. By learning their language and customs, he became the foremost interpreter in the East. Over the next three decades, Weiser became a successful businessman, landowner, tanner, and farmer. His most notable accomplishment is considered to be the founding of Reading, Pennsylvania. He wrote two books, <em>Early Western Journals</em> and <em>Conrad Weiser's Account Book,</em> in which he discussed the many trials and accomplishments of his life. He died in 1760.</p>","Womelsdorf, PA",Berks County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weiser%2C+Conrad%2C+1696-1760"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weiser__Conrad"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Weiser__Conrad.jpg,40.358468,-76.171494,Photo Credit: Lindsay Clinton. Photograph of a Portrait of Conrad Weiser. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/en/1/1d/ConradWeiserPortrait.jpg.,,"Womelsdorf, PA | Berks County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weiser__Conrad"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weiser%2C+Conrad%2C+1696-1760"" target=""_blank"">PSU Catalog Link</a>"
Jaqueline Shachter Weiss,Nonfiction,Nonfiction,03/28/1946,8/19/2021,3/28/1926 - 8/19/2021,"<p>Jaqueline Shacter Weiss, born in 1926, earned her M.S. and Ed.D. from the University of Pennsylvania and served as a professor at Temple University. Besides teaching public school, Weiss also composed a children's book of Brer Rabbit stories originating from Latin America as well as three other works on children's literature.</p>","Norristown, PA",Montgomery County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weiss%2C+Jaqueline+Shachter"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weiss__Jaqueline_Shachter"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Weiss__Jaqueline_Schachter.jpg,40.145377,-75.309932,"Photo Credit: Young Brer Rabbit: And Other Trickster Tales from the Americas. ca. 1994. Book Cover. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Stemmer House Publishers. Source: Online Resource. New Hampshire.Source: https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347330264l/4782007.jpg.",,"Norristown, PA | Montgomery County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weiss__Jaqueline_Shachter"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weiss%2C+Jaqueline+Shachter"" target=""_blank"">PSU Catalog Link</a>"
Gabriel Welsch,Poetry,Poetry,01/01/1993,1/1/2050,Born: 1973,"<p>Poet Gabriel Welsch was born in 1970 in Sanford, Maine. After graduating from Downingtown High School, he attended Pennsylvania State University and received his BA and MFA. He married Jill Wyant in 1994. Along with receiving a Pennsylvania Arts Council Individual Artist Fellowship for Fiction, he was the inaugural Thoreau Poet in Residence. In 2006, he published his first book, <em>Dirt and All Its Dense Labor</em>.</p>","Huntingdon, PA",Huntingdon County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Welsch%2C+Gabriel"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Welsch__Gabriel"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Welsch__Gabriel.jpg,40.510227,-78.014413,"Photo Credit: Juniata College. Gabe Welsh. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://cdn.juniata.edu/images/gifts/contact-photos/welsch-large.jpg.",,"Huntingdon, PA | Huntingdon County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Welsch__Gabriel"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Welsch%2C+Gabriel"" target=""_blank"">PSU Catalog Link</a>"
Richard Wertime,Fiction,Fiction,06/04/1962,1/1/2050,Born: 6/4/1942,"<p>Richard Wertime, a writer in many genres, was born in Baltimore in 1942. After an intense childhood with his CIA-trained father, Wertime was educated at Haverford and the University of Pennsylvania. He has published several short stories, was contributing editor of Archaeology magazine, and wrote his acclaimed memoir,<em> Citadel on the Mountain </em>(2000), set partly in McConnellsburg. At the time of this writing, he is a full professor of English and Writing at Arcadia University in Glenside, Pennsylvania.</p>","McConnellsburg, PA",Fulton County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wertime%2C+Richard"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wertime__Richard"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wertime__Richard.jpg,39.932589,-77.998891,"Photo Credit: Arcadia University. Dick Wertime, Professor, English. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://www.arcadia.edu/sites/default/files/styles/block_bio/public/pictures/picture-2307-1433356409.jpg?itok=1fdJLssV.",,"McConnellsburg, PA | Fulton County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wertime__Richard"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wertime%2C+Richard"" target=""_blank"">PSU Catalog Link</a>"
Patricia Jabbeh Wesley,Poetry,Poetry,08/07/1975,1/1/2050,Born: 8/7/1955,"<p>Poet Patricia Jabbeh Wesley is an English and Creative Writing professor who teaches at Pennsylvania State University - Altoona and Indiana University of Pennsylvania. Raised in Liberia, she fled to America during the Liberian Civil War, and her work aims to memorialize her life before the war and her experiences as an African woman and immigrant. Read more <a href=""https://sites.psu.edu/pablackwriters/the-writers/patricia-jabbeh-wesley/"" target=""_blank"">here</a>.&nbsp;</p><p>""Patricia Jabbeh Wesley."" <em>Black Writers of PA.</em> 2020. 31 August 2020.&nbsp;</p>","Altoona, PA",Blair County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wesley%2C+Patricia+Jabbeh"" target=""_blank"">PSU Catalog Link</a>",,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wesley__Patricia.jpg,40.540275,-78.407649,"Photo Credit: Penn State Liberal Arts. Poetry Reading: Patricia Jabbeh Wesley, Shailja Patel and Gebeba Baderoon. 8 Nov 2011. Photograph. Licensed under CC BY-NC-SA 2.0. Cropped to 4x3. Source: Flickr. Source: https://www.flickr.com/photos/lausatpsu/6349841419/in/photolist-27QFhpq-cpED4o-6KkNd6-fa9w1X-aF7ACt-5wseWo-LeAUdg/.",,"Altoona, PA | Blair County","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wesley%2C+Patricia+Jabbeh"" target=""_blank"">PSU Catalog Link</a>"
James L. W. West III,Nonfiction,Nonfiction,11/15/1966,1/1/2050,Born: 11/15/1946,"<p>James Lemuel Wills West III was born on November 15, 1946, in Roanoke, Virginia, to two educators. He received his BAand PhDfrom the University of South Carolina at Columbia in 1968 and 1971, respectively. Throughout his life, West was married twice and he fathered four children. He also taught English at the Virginia Polytechnic Institute and State University and the Pennsylvania State University, University Park for many years. While teaching, West wrote many articles, books, and bibliographies€Ÿ?he also received many awards for his efforts. At the time of this writing, West lives in State College, Pennsylvania, and teaches graduate-level English classes at Pennsylvania State University.</p>","University Park, PA",Centre County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=West,+James+L.+W.,+III"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/West__James_L"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/West__James_L.jpg,40.782392,-77.855044,"Photo Credit: Penn State. James L.W. West III, Edwin Erle Sparks Professor of English. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://rockethics.psu.edu/people/jlw14/image_normal.",,"University Park, PA | Centre County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/West__James_L"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=West,+James+L.+W.,+III"" target=""_blank"">PSU Catalog Link</a>"
Diane McKinney-Whetstone,Fiction,Fiction,08/14/1973,1/1/2050,Born: 8/14/1953,"<p>Fiction author Diane McKinney-Whetstone was born and raised in Philadelphia, Pennsylvania—a city which serves as the backdrop for most of her novels—and received her degree in English from the University of Pennsylvania. Her work often focuses on familial issues, as well as the intra-community struggles of African Americans. Read more <a href=""https://sites.psu.edu/pablackwriters/the-writers/diane-mckinney-whetstone/"" target=""_blank"">here</a>.</p><p>""Diane McKinney-Whetstone."" <em>Black Writers of PA.</em> 2020. 31 August 2020.</p>","Philadelphia, PA",Philadelphia County,https://www.mckinney-whetstone.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=McKinney-Whetstone%2C+Diane"" target=""_blank"">PSU Catalog Link</a>",,https://pabook.libraries.psu.edu/sites/default/files/biosimages/McKinney-Whetstone__Diane.jpg,40.074148,-75.19084,Photo Credit: Photograph of Diane McKinney-Whetstone. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://www.mckinney-whetstone.com/wp-content/uploads/2015/08/diane.jpg.,,"Philadelphia, PA | Philadelphia County","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=McKinney-Whetstone%2C+Diane"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.mckinney-whetstone.com/"" target=""_blank"">Personal Website</a>"
John Edgar Wideman,Fiction,Fiction,06/14/1961,1/1/2050,Born: 6/14/1941,"<p>John Edgar Wideman was born in Washington D.C. on June 14, 1941, but he has called Pittsburgh his real home. A number of his works reflect the Pennsylvania environments where he has lived, particularly the Homewood district of Pittsburgh and the area near the University of Pennsylvania in Philadelphia. He was the second African American to become a Rhodes Scholar. He is also a two-time PEN/Faulkner Award winner. In 2011, he was awarded the Anisfield-Wolf Lifetime Achievement Book Award. At the time of this writing, Wideman is a professor at Brown University.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wideman%2C+John+Edgar"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wideman__John_Edgar"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wideman__John_Edgar.jpg,40.451698,-79.933907,"Photo Credit: John Edgar Wideman. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://vivo.brown.edu/profile-images/622/67/jwideman_photo_.jpg.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wideman__John_Edgar"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wideman%2C+John+Edgar"" target=""_blank"">PSU Catalog Link</a>"
David  Wiesner,Children's,Children's,02/05/1976,1/1/2050,Born: 2/5/1956,"<p>David Wiesner was born in New Jersey in 1956 and was known as ""the kid who could draw"" while growing up. He earned a Bachelor of Fine Arts (BFA) in Illustration from the Rhode Island School of Design and is the second person to have ever won three Caldecott Medals, awarded to his works: <em>Tuesday </em>(1991), <em>The Three Pigs</em> (2001), and <em>Flotsam</em> (2006). His books have been translated into over a dozen languages, and he has illustrated many books for other authors, including the 1994 editions of C. S. Lewis' <em>The Chronicles of Narnia</em>. Wiesner continues to illustrate fulltime while living near Philadelphia with his wife and two kids.</p>","Glenside, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wiesner,+David"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wiesner__David"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wiesner__David.jpg,40.099908,-75.152793,Photo Credit: Alvintrusty. David Wiesner at the 2011 Mazza Fall Institute. 11 Nov 2011. Photograph. Licensed under CC BY-SA 3.0. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/c/ca/David_Wiesner_2011.jpg.,,"Glenside, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wiesner__David"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wiesner,+David"" target=""_blank"">PSU Catalog Link</a>"
William Carlos Williams,Poetry,Poetry,09/17/1903,3/4/1963,9/17/1883 - 3/4/1963,"<p>Pulitzer Prize winner and two-time Poet Laureate, William Carlos Williams earned his medical degree at the University of Pennsylvania. Read more <a href=""https://www.anb.org/view/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-1601786?rskey=FojtQd&result=1"" target=""_blank"">here</a>.</p><p>Wganer-Martin, Linda. Williams, William Carlos: (17 September 1883-04 March 1963). <em>American National Biography.</em> February 2000. 9 November 2018.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+William+Carlos%2C+1883-1963"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__William_Carlos"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Williams__William_Carlos.jpg,39.947728,-75.192583,"Photo Credit: Beinecke Rare Book & Manuscript Library, Yale University. Photograph of William Carlos Williams. ca. 1920. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/William_Carlos_Williams_passport_photograph.jpg/548px-William_Carlos_Williams_passport_photograph.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__William_Carlos"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+William+Carlos%2C+1883-1963"" target=""_blank"">PSU Catalog Link</a>"
