Common Name,Vocation,Combined Vocations,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
James L. W. West III,Literary,Literary | Education,11/15/1966,1/1/2050,Born: 11/15/1946,"<p>James Lemuel Wills West III was born on November 15, 1946, in Roanoke, Virginia, to two educators. He received his BAand PhDfrom the University of South Carolina at Columbia in 1968 and 1971, respectively. Throughout his life, West was married twice and he fathered four children. He also taught English at the Virginia Polytechnic Institute and State University and the Pennsylvania State University, University Park for many years. While teaching, West wrote many articles, books, and bibliographies€Ÿ?he also received many awards for his efforts. At the time of this writing, West lives in State College, Pennsylvania, and teaches graduate-level English classes at Pennsylvania State University.</p>","University Park, PA",Centre County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=West,+James+L.+W.,+III"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/West__James_L"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/West__James_L.jpg,40.782392,-77.855044,"Photo Credit: Penn State. James L.W. West III, Edwin Erle Sparks Professor of English. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://rockethics.psu.edu/people/jlw14/image_normal.",,"University Park, PA | Centre County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/West__James_L"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=West,+James+L.+W.,+III"" target=""_blank"">PSU Catalog Link</a>"
George Westinghouse,Business,Business,10/06/1866,3/12/1914,10/6/1846 - 3/12/1914,"<p>George Westinghouse was born in Central Bridge, New York, in 1846. As a teenager, he joined the Union Army in the Civil War at the age of fifteen. After attending Union College in New York for less than a semester, Westinghouse's creative ingenuity began to flourish with his first patent and invention, a rotary steam engine. From here, he moved to Pittsburgh to allow him a better venue to foster his innovative dreams. With his most important contribution, the utilization of alternating current, Westinghouse became one of America's most notable industrialists. After retiring, he died in 1914 in New York.</p>","Pittsburgh, PA",Allegheny County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Westinghouse__George"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Westinghouse__George.jpg,40.392779,-79.836375,"Photo Credit: Joseph G. Gessford. George Westinghouse, half-length portrait, facing front. between 1900 and 1914. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Online Resource. Library of Congress.Source: http://hdl.loc.gov/loc.pnp/cph.3b39671.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Westinghouse__George"" target=""_blank"">Expanded Biography</a>",
Cornelius Weygandt,Education,Education,12/13/1891,7/31/1957,12/13/1871 - 7/31/1957,"<p>Cornelius Weygandt is from Pennsylvania Dutch heritage. He remains the leading authority of all things Pennsylvania Dutch. Weygandt was a decorated Professor of English Literature at the University of Pennsylvania, where he was awarded for his greatness in teaching by the Friars Senior Society. </p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weygandt%2C+Cornelius%2C+1871-1957"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weygandt__Cornelius"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Weygandt__Cornelius.jpg,40.044173,-75.177509,Photo Credit: UPenn. Cornelius Weygandt. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. UPenn Department of English.Source: https://www.english.upenn.edu/people/cornelius-weygandt.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Weygandt__Cornelius"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Weygandt%2C+Cornelius%2C+1871-1957"" target=""_blank"">PSU Catalog Link</a>"
Joseph Wharton,Business,Business,03/03/1846,1/10/1909,3/3/1826 - 1/10/1909,"<p>Born in 1826, Joseph Wharton was a prominent Pennsylvanian who presided over some of the most astute educational, industrial, and economic institutions the Commonwealth of Pennsylvania has ever seen. Wharton was once the largest stockholder of Bethlehem Steel. Wharton died in 1909, but his name and legacy live on today as the namesake of the Wharton Business School at the University of Pennsylvania, which is regarded as one of the best business schools in the world. Wharton also founded one of the most prominent liberal arts colleges in the United States, Swarthmore College.</p>","Swarthmore, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wharton%2C+Joseph%2C+1826-1909"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wharton__Joseph"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wharton__Joseph.jpg,39.953151,-75.19822,Photo Credit: Joseph Wharton. ca. 1902. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://commons.wikimedia.org/w/index.php?curid=12227457.,,"Swarthmore, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wharton__Joseph"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wharton%2C+Joseph%2C+1826-1909"" target=""_blank"">PSU Catalog Link</a>"
Diane McKinney-Whetstone,Literary,Literary,08/14/1973,1/1/2050,Born: 8/14/1953,"<p>Fiction author Diane McKinney-Whetstone was born and raised in Philadelphia, Pennsylvania—a city which serves as the backdrop for most of her novels—and received her degree in English from the University of Pennsylvania. Her work often focuses on familial issues, as well as the intra-community struggles of African Americans. Read more <a href=""https://sites.psu.edu/pablackwriters/the-writers/diane-mckinney-whetstone/"" target=""_blank"">here</a>.</p><p>""Diane McKinney-Whetstone."" <em>Black Writers of PA.</em> 2020. 31 August 2020.</p>","Philadelphia, PA",Philadelphia County,https://www.mckinney-whetstone.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=McKinney-Whetstone%2C+Diane"" target=""_blank"">PSU Catalog Link</a>",,https://pabook.libraries.psu.edu/sites/default/files/biosimages/McKinney-Whetstone__Diane.jpg,40.074148,-75.19084,Photo Credit: Photograph of Diane McKinney-Whetstone. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://www.mckinney-whetstone.com/wp-content/uploads/2015/08/diane.jpg.,,"Philadelphia, PA | Philadelphia County","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=McKinney-Whetstone%2C+Diane"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.mckinney-whetstone.com/"" target=""_blank"">Personal Website</a>"
William Whipper,Activism,Activism,02/20/1824,3/9/1876,2/20/1804 - 3/9/1876,"<p>Born in Pennsylvania in 1804, William Whipper was educated by a private tutor. He lectured on moral reform and published his speech ""Address on Non-Resistance to Offensive Aggression"" at the age of 24. He became a successful entrepreneur and continued to fight for moral reform and abolition. His work is considered as a forerunner to the civil rights movement. He died in 1876.</p>","Little Britain, PA",Lancaster County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Whipper%2C+William%2C+1804?-1876"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Whipper__William"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Whipper__William_0.jpg,39.784682,-76.097201,"Photo Credit: William Whipper. Portrait. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Still, William. Underground Railroad. Philadelphia, 1879. Source: https://upload.wikimedia.org/wikipedia/en/4/45/William_Whipper.png.",,"Little Britain, PA | Lancaster County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Whipper__William"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Whipper%2C+William%2C+1804?-1876"" target=""_blank"">PSU Catalog Link</a>"
Reggie White,Athletics,Athletics,12/19/1981,12/26/2004,12/19/1961 - 12/26/2004,"<p>Reginald White was born on December 19, 1961, in Chattanooga, Tennessee. He had strong religious values, and he was ordained a Baptist minister at age 17. Nicknamed the ""Minister of Defense,"" he was a defensive lineman for the Philadelphia Eagles from 1985 until 1992 and for the Green Bay Packers from 1993 to 1998. White went to the Pro Bowl for a record 13 consecutive seasons. He ended his magnificent football career with the Carolina Panthers in 2000. He died on December 26, 2004, at the age of 43. In 2006, he was inducted into the Pro Football Hall of Fame.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=White%2C+Reggie"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/White__Reggie"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/White__Reggie.jpg,39.906667,-75.171112,"Photo Credit: Jeff Phelps. Reggie White of the Green Bay Packers at Super Bowl XXIX, Louisiana Superdome, New Orleans. ca. 1995. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/en/2/24/Reggie_white_packers.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/White__Reggie"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=White%2C+Reggie"" target=""_blank"">PSU Catalog Link</a>"
John Edgar Wideman,Literary,Literary,06/14/1961,1/1/2050,Born: 6/14/1941,"<p>John Edgar Wideman was born in Washington D.C. on June 14, 1941, but he has called Pittsburgh his real home. A number of his works reflect the Pennsylvania environments where he has lived, particularly the Homewood district of Pittsburgh and the area near the University of Pennsylvania in Philadelphia. He was the second African American to become a Rhodes Scholar. He is also a two-time PEN/Faulkner Award winner. In 2011, he was awarded the Anisfield-Wolf Lifetime Achievement Book Award. At the time of this writing, Wideman is a professor at Brown University.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wideman%2C+John+Edgar"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wideman__John_Edgar"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wideman__John_Edgar.jpg,40.451698,-79.933907,"Photo Credit: John Edgar Wideman. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://vivo.brown.edu/profile-images/622/67/jwideman_photo_.jpg.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wideman__John_Edgar"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wideman%2C+John+Edgar"" target=""_blank"">PSU Catalog Link</a>"
David  Wiesner,Art & Design,Art & Design | Literary,02/05/1976,1/1/2050,Born: 2/5/1956,"<p>David Wiesner was born in New Jersey in 1956 and was known as ""the kid who could draw"" while growing up. He earned a Bachelor of Fine Arts (BFA) in Illustration from the Rhode Island School of Design and is the second person to have ever won three Caldecott Medals, awarded to his works: <em>Tuesday </em>(1991), <em>The Three Pigs</em> (2001), and <em>Flotsam</em> (2006). His books have been translated into over a dozen languages, and he has illustrated many books for other authors, including the 1994 editions of C. S. Lewis' <em>The Chronicles of Narnia</em>. Wiesner continues to illustrate fulltime while living near Philadelphia with his wife and two kids.</p>","Glenside, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wiesner,+David"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wiesner__David"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wiesner__David.jpg,40.099908,-75.152793,Photo Credit: Alvintrusty. David Wiesner at the 2011 Mazza Fall Institute. 11 Nov 2011. Photograph. Licensed under CC BY-SA 3.0. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/c/ca/David_Wiesner_2011.jpg.,,"Glenside, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wiesner__David"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wiesner,+David"" target=""_blank"">PSU Catalog Link</a>"
William Carlos Williams,Literary,Literary,09/17/1903,3/4/1963,9/17/1883 - 3/4/1963,"<p>Pulitzer Prize winner and two-time Poet Laureate, William Carlos Williams earned his medical degree at the University of Pennsylvania. Read more <a href=""https://www.anb.org/view/10.1093/anb/9780198606697.001.0001/anb-9780198606697-e-1601786?rskey=FojtQd&result=1"" target=""_blank"">here</a>.</p><p>Wganer-Martin, Linda. Williams, William Carlos: (17 September 1883-04 March 1963). <em>American National Biography.</em> February 2000. 9 November 2018.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+William+Carlos%2C+1883-1963"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__William_Carlos"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Williams__William_Carlos.jpg,39.947728,-75.192583,"Photo Credit: Beinecke Rare Book & Manuscript Library, Yale University. Photograph of William Carlos Williams. ca. 1920. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/William_Carlos_Williams_passport_photograph.jpg/548px-William_Carlos_Williams_passport_photograph.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__William_Carlos"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+William+Carlos%2C+1883-1963"" target=""_blank"">PSU Catalog Link</a>"
George Washington Williams,Education,Education | Law & Politics,10/16/1869,8/2/1891,10/16/1849 - 8/2/1891,"<p>Born on October 16, 1849, George Washington Williams was a soldier, a minister, a  journalist, a politician, and a historian. He is best known for his political and historical writings.  His most famous work was <em>History of the Negro Race in America, 1618-1880</em>. Most of his works  focused on race, politics, or war tactics. Williams was also the first African-American to be  appointed to the Ohio State Legislature. In 1889, S.S. McClure, a well-known editor and  publisher, commissioned him to write articles regarding the treatment of natives in the Congo  under Belgian rule. He died shortly afterwards, on August 2, 1891, of tuberculosis.</p>","Bedford, PA",Bedford County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+George+Washington%2C+1849-1891"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__George_Washington"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Williams__George_Washington.jpg,40.018692,-78.503907,"Photo Credit: George Washington Williams. before 1891. Photograph. Licensed under Public Domain. Cropped to 4x3, Filled background. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/4/49/George-washington-williams.jpg.",,"Bedford, PA | Bedford County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__George_Washington"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+George+Washington%2C+1849-1891"" target=""_blank"">PSU Catalog Link</a>"
Daniel Hale Williams,Medicine,Medicine,01/18/1876,8/4/1931,1/18/1856 - 8/4/1931,"<p>Daniel Hale Williams was born January 18, 1856, in Hollidaysburg, Pennsylvania. Williams worked at several different jobs during his youth, and remained restless before finally deciding to pursue medicine. Williams attended Chicago Medical in 1880 and became an M.D. in 1883. He tirelessly raised funds and awareness in order to establish the first interracial hospital, Provident Hospital, in 1891. In this hospital, Dr. Williams performed the operation for which he is most recognized: sewing a tear in the pericardium. Dr. Williams was respected for this and additional medical feats. He died in Idlewild, Michigan in 1931.</p>","Hollidaysburg, PA",Blair County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Daniel_Hale"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Williams__Daniel_Hale.jpg,40.42779,-78.39243,Photo Credit: Daniel Hale Williams. ca. 1900. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/8/83/Daniel_Hale_Williams.jpg.,,"Hollidaysburg, PA | Blair County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Daniel_Hale"" target=""_blank"">Expanded Biography</a>",
Karen Lynn Williams,Literary,Literary,03/22/1972,1/1/2050,Born: 3/22/1952,"<p>Karen Lynn Williams was born on March 22, 1952, in New Haven, Connecticut. She used her Master of Arts degree in deaf education when she moved to Africa with the Peace Corps and volunteered in a school for the deaf and later taught as an English teacher. She also began writing children's books during her time in Africa, and had her first book published in 1990 after moving back to the States to Pittsburgh, Pennsylvania.</p>","Pittsburgh, PA",Allegheny County,https://www.karenlynnwilliams.com,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+Karen+Lynn"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Karen_Lynn"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Williams__Karen_Lynn.jpg,40.443096,-79.981907,Photo Credit: Karen Lynn Williams. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://karenlynnwilliams.com/wp-content/uploads/2018/09/karenwilliams-portrait-2018.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Karen_Lynn"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams%2C+Karen+Lynn"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.karenlynnwilliams.com/"" target=""_blank"">Personal Website</a>"
Lauryn Williams,Athletics,Athletics,09/11/2003,1/1/2050,Born: 9/11/1983,"<p><strong>Photo Credit: </strong>""<a href=""https://pbs.twimg.com/profile_images/957861013793091584/bmRD9Ody_400x400.jpg"">Lauryn Williams.</a>"" Photograph. Licensed under <a href=""https://www.copyright.gov/fair-use/more-info.html"">Fair Use</a>. Cropped to 4x3. Source: Online Resource. </p>","Rochester, PA",Beaver County,https://www.lauryn-williams.com/,,,https://pabook.libraries.psu.edu/sites/default/files/biosimages/Williams__Lauryn.jpg,40.709631,-80.277772,Photo Credit: Lauryn Williams. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://pbs.twimg.com/profile_images/957861013793091584/bmRD9Ody_400x400.jpg.,,"Rochester, PA | Beaver County","<a href=""https://www.lauryn-williams.com/"" target=""_blank"">Personal Website</a>"
Vera B. Williams,Literary,Literary,01/28/1947,10/16/2015,1/28/1927 - 10/16/2015,"<p>Vera BakerWilliams was an author and illustrator of children's books.<strong> </strong>She was most known for her trilogy about Rosa, a young girl from a relatively poor family. She was born in Hollywood, California. Later her family lived in the Bronx in New York City. Williams studied art at the Music and Art High School in New York City, and later went on to receive her BFA in Graphic Arts from Black Mountain College. She studied at the Boston Museum School. Williams received numerous awards during her career as an author and illustrator, including two Caldecott Honors. <strong></strong></p>","Honesdale, PA",Wayne County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams,+Vera+B."" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Vera_B"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Williams__Vera_B_0.jpg,41.577412,-75.256767,"Photo Credit: Susan Kuklin. Vera B. Williams, Illustrator. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Harper Collins Publishers. Source: Online Resource. Source: https://i.harperapps.com/authors/19040/x300.jpg.",,"Honesdale, PA | Wayne County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Williams__Vera_B"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Williams,+Vera+B."" target=""_blank"">PSU Catalog Link</a>"
David Wilmot,Law & Politics,Law & Politics,01/20/1834,3/16/1868,1/20/1814 - 3/16/1868,"<p>Born in 1814 in Bethany, Pennsylvania, David Wilmot worked tirelessly as a politician. Wilmot's gift as an orator propelled his political career. He successfully ran for the House of Representatives in 1844. In 1846 Wilmot proposed legislation that would ban slavery and involuntary servitude in territories annexed after the Mexican War. Though his proposal did not pass in the Senate, the <i>Wilmot Proviso</i>, as it was called, polarized the North and the South. Wilmot's contribution to the abolitionist's movement is his greatest legacy.</p>","Bethany, PA",Wayne County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilmot%2C+David%2C+1814-1868"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilmot__David"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wilmot__David.jpg,41.612778,-75.284167,"Photo Credit: David Wilmot, 1814-1868. ca. 1857. Portrait. Licensed under Public Domain. Cropped to 4x3. Source: Library of Congress. Illus. in: Harper's Weekly, v. 1, 1858, p. 596.. Source: Wikimedia Commons. Source: https://www.loc.gov/pictures/item/2003690370/.",,"Bethany, PA | Wayne County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilmot__David"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilmot%2C+David%2C+1814-1868"" target=""_blank"">PSU Catalog Link</a>"
Eleanor Wilner,Literary,Literary,07/29/1957,1/1/2050,Born: 7/29/1937,"<p>Eleanor Wilner is a poet and a lifelong activist for civil rights and peace. She has written several poetry collections, including the Juniper Prize-winning <em> Maya </em>(1979)and <em>Tourist in Hell</em> (2010). She has an interdepartmental PhD from Johns Hopkins University and teaches peripatetically at such universities as Temple University, University of Chicago, Northwestern University, and the MFA Program for Writers at Warren Wilson College. Her articles and reviews have appeared in countless newspapers and magazines.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilner%2C+Eleanor"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilner__Eleanor"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wilner__Eleanor_Rand.jpg,39.945874,-75.16454,"Photo Credit: Copper Canyon Press. Photograph of Eleanor Wilner. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://www.poets.org/sites/default/files/styles/286x289/public/images/biographies/EleanorWilner_NewBioImage.png?itok=axvjENKs.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilner__Eleanor"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilner%2C+Eleanor"" target=""_blank"">PSU Catalog Link</a>"
Alexander Wilson,Literary,Literary | Science,07/06/1786,8/23/1813,7/6/1766 - 8/23/1813,"<p>Alexander Wilson was born in a thriving Scottish town named Paisley. In 1794, Wilson left Scotland with his nephew aboard a ship to America, where they landed two months later. Wilson's primary residence was Philadelphia, Pennsylvania, from where nearly all of his excursions originated and ended. Wilson traversed many explored and previously unexplored territories, documenting America's native bird species. Wilson wrote and illustrated <em>American Ornithology,</em> which was the first book to document the native bird species of America.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+Alexander%2C+1766-1813"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__Alexander"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wilson__Alexander.jpg,39.934133,-75.143983,"Photo Credit: Brent Wahl. Photograph of a Portrait of Alexander Wilson (oil on wood, 23 1/4 x 22 inches), probably painted by Thomas Sully, 1809-13. Portrait. Licensed under Fair Use. Cropped to 4x3. Source: American Philosophical Society. Source: Online Resource. Philadelphia.Source: http://www.phmc.state.pa.us/portal/communities/pa-heritage/images/alexander_wilson_portrait_thomas_sully.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__Alexander"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+Alexander%2C+1766-1813"" target=""_blank"">PSU Catalog Link</a>"
James Wilson,Law & Politics,Law & Politics,09/14/1762,8/21/1798,9/14/1742 - 8/21/1798,"<p>Born in Scotland in 1742, Wilson attended the Universities of St. Andrews, Glasgow, and Edinburgh without attaining a degree. In 1766, he emigrated to the United States, and through various connections, he acquired a job teaching at the College of Philadelphia along with an honorary Master of Arts degree. Wilson began his career in law, setting up a practice in Reading, Pennsylvania, achieving much success. He became a representative of Carlisle and wrote a pamphlet titled ""Considerations on the Nature and Extent of the Legislative Authority of the British Parliament."" This work was highly commended by many members of the Continental Congress, which Wilson was elected to in 1775. A signer of both the Declaration of Independence and the United States Constitution, Wilson continued his work in the government as a Congressman. In 1789, he was appointed Associate Justice of the Supreme Court. Wilson died in North Carolina at the age of 56.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+James%2C+1742-1798"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__James"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Wilson__James_0.jpg,39.94704,-75.146494,Photo Credit: Robert S. Susan. The official portrait of Supreme Court Justice James Wilson. Portrait. Licensed under Fair Use. Cropped to 4x3. Source: Courtesy of the Collection of the Supreme Court of the United States. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/JusticeJamesWilson.jpg/503px-JusticeJamesWilson.jpg.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Wilson__James"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Wilson%2C+James%2C+1742-1798"" target=""_blank"">PSU Catalog Link</a>"
